gear_type,year,gear_production_ton,year_total,share
coleta manual,2020,550.5,6618.900000000001,0.08317091963921497
compressor,2020,102.5,6618.900000000001,0.015485956881052742
coqueiro,2020,0.4,6618.900000000001,6.043300246264485e-05
covo lagosta,2020,9.4,6618.900000000001,0.001420175557872154
covo peixe,2020,65.6,6618.900000000001,0.009911012403873754
covo peixe e lagosta,2020,5.2,6618.900000000001,0.000785629032014383
curral,2020,4.4,6618.900000000001,0.0006647630270890933
jereré,2020,1.3,6618.900000000001,0.00019640725800359576
linha,2020,3460.2000000000003,6618.900000000001,0.5227756878031092
linha e covo lagosta,2020,0.0,6618.900000000001,0.0
linha e covo peixe,2020,0.0,6618.900000000001,0.0
linha e espinhel,2020,7.1000000000000005,6618.900000000001,0.001072685793711946
linha e jereré,2020,751.2,6618.900000000001,0.11349317862484702
